"logFC","logCPM","F","PValue","Gene","padj","abs_logFC"
1.20743744640625,-0.296026064750777,23.5808436353568,0.000105750464760662,"ENSG00000283064.1",0.000713855512875327,1.20743744640625
1.20707266292905,8.65840108879557,393.075686416762,2.79868407416988e-14,"ENSG00000245532.9",3.85400325352224e-12,1.20707266292905
1.20609184658625,-2.07573776357231,9.33512391253311,0.00643728899232744,"ENSG00000228323.2",0.022281583051169,1.20609184658625
1.2059720164683,4.51965445491092,491.077392227936,3.5731676988258e-15,"ENSG00000223749.11",7.10742757159773e-13,1.2059720164683
1.20419177878742,1.95100298911971,174.134154499733,4.22122641000871e-11,"ENSG00000134470.21",2.36809217347716e-09,1.20419177878742
1.20322156246978,3.02254123178478,223.972483229428,4.59045235569412e-12,"ENSG00000198342.10",3.57296861181027e-10,1.20322156246978
1.20286300020301,2.51783664204794,208.961850895338,8.50054682171039e-12,"ENSG00000272341.1",5.94440582821326e-10,1.20286300020301
1.20246227314946,-1.33558537798488,18.2657653044437,0.00039900375913163,"ENSG00000158163.15",0.00219445938432394,1.20246227314946
1.20192598683325,-1.48158828883937,13.0141933706294,0.00184285443016689,"ENSG00000184068.2",0.00780846864114738,1.20192598683325
1.2013501928805,-1.88457324470892,10.9718603756212,0.00361001555028254,"ENSG00000207751.3",0.0137561724949251,1.2013501928805
1.19997445476187,-1.95811556242953,13.3292802465379,0.00166849416159624,"ENSG00000121297.8",0.00716807834914708,1.19997445476187
1.19682717374825,-0.890505595083229,20.958301512237,0.000198895558314006,"ENSG00000171522.6",0.00122232347577663,1.19682717374825
1.19682668296718,-2.00924171613436,10.5667548383725,0.00415099726506814,"ENSG00000280103.1",0.0155170501230423,1.19682668296718
1.1939076352264,2.24733340521206,218.847452632147,5.64035798913268e-12,"ENSG00000164023.14",4.19929515856641e-10,1.1939076352264
1.1906778043221,0.351303855821421,33.7359264068324,1.28021604374922e-05,"ENSG00000277157.2",0.000120180532853689,1.1906778043221
1.18892052450749,1.87367618009539,112.345081268543,1.76240109476267e-09,"ENSG00000167889.13",5.85352586241955e-08,1.18892052450749
1.1885123971032,7.99152803017585,1075.41626108491,2.27180557887733e-18,"ENSG00000112715.25",1.16199609923034e-15,1.1885123971032
1.17804557249363,3.65038790025524,338.896822487761,1.09075103269175e-13,"ENSG00000117016.10",1.33540626802491e-11,1.17804557249363
1.17778257065572,2.45887265003998,203.195058709369,1.08888280922289e-11,"ENSG00000113356.13",7.3648410816504e-10,1.17778257065572
1.17745222452666,2.4476234622732,122.791660010235,8.39700624697828e-10,"ENSG00000078401.7",3.05534971206108e-08,1.17745222452666
1.17648625692255,-2.08940100999918,7.1934947159565,0.014632071491268,"ENSG00000278588.2",0.043832554189538,1.17648625692255
1.17637413650301,-1.93297878960835,7.89315687966957,0.0110895953599939,"ENSG00000277566.1",0.0349025907409654,1.17637413650301
1.17587643278074,-1.80344782885471,13.7771871234343,0.00145133131426421,"ENSG00000256030.1",0.00640417382005372,1.17587643278074
1.1752050509145,-1.97059906498444,11.2510608815488,0.00328295312504261,"ENSG00000134326.12",0.0126826557713666,1.1752050509145
1.17153936378192,-2.36064982837041,8.84126743120795,0.00772522347402181,"ENSG00000274272.1",0.0259031561400896,1.17153936378192
1.17031912939036,-1.73761572765795,8.71466804514683,0.0081001137286508,"ENSG00000224418.1",0.0268982073771669,1.17031912939036
1.17020844630199,3.55149842538412,248.129321260378,1.83746919259915e-12,"ENSG00000070495.15",1.62041248699064e-10,1.17020844630199
1.16921184608464,-1.98348517752882,10.6485999296541,0.00403480616700491,"ENSG00000235529.1",0.015123764656977,1.16921184608464
1.16911247735075,-2.04884061321946,8.79839325510843,0.00784996786954537,"ENSG00000286327.1",0.0262329895091658,1.16911247735075
1.16897617402405,-1.93340246561084,11.1497493907215,0.00339765787022456,"ENSG00000204949.9",0.0130637609950086,1.16897617402405
1.16801151018417,1.46136126892565,59.0828883976513,2.75384574346087e-07,"ENSG00000105173.14",4.59025572620452e-06,1.16801151018417
1.1676809530907,-2.08944050886589,10.2680512302116,0.00460779180197301,"ENSG00000250999.2",0.0168999567381522,1.1676809530907
1.16661871743721,4.29881453770247,540.771929629021,1.45758411333376e-15,"ENSG00000162772.17",3.43337773643434e-13,1.16661871743721
1.16532018434291,0.0465379913903096,26.8304870044384,5.10547076289245e-05,"ENSG00000128342.5",0.000381620616272654,1.16532018434291
1.16150775547796,1.46843263717596,87.9133813896468,1.29690770331316e-08,"ENSG00000169902.15",3.27927142721924e-07,1.16150775547796
1.15995369375897,-0.764035096689024,22.4952105733099,0.000136653605066708,"ENSG00000286360.1",0.000890885956993521,1.15995369375897
1.1576354584555,1.76907168528131,119.24310322083,1.07334164100332e-09,"ENSG00000112208.11",3.76026654740536e-08,1.1576354584555
1.15236476036701,-1.39409717200774,12.9142469299137,0.00190231897994482,"ENSG00000234337.4",0.0080111301761873,1.15236476036701
1.14637105176474,-1.57497620882029,11.5725451256222,0.00294655607288049,"ENSG00000261173.1",0.0115906936534183,1.14637105176474
1.14477972193267,-0.613056076875955,23.0492139344099,0.000119791326091442,"ENSG00000116329.11",0.000795439287718472,1.14477972193267
1.14318487679359,-0.410975555854268,26.8142472481391,5.12338643760268e-05,"ENSG00000280007.1",0.000382799933246925,1.14318487679359
1.14291714883521,5.78522802343871,546.337228764339,1.32494134766163e-15,"ENSG00000175197.12",3.16254666744514e-13,1.14291714883521
1.13931606049304,-1.59426768977972,11.2016233832987,0.00333837864445064,"ENSG00000231704.6",0.0128690039821178,1.13931606049304
